,place,address
0,캠퍼스타운역,인천 연수구 송도국제대로 66
1,테크노파크역,인천시 연수구 송도국제대로 150
2,동막역,인천광역시 연수구 경원대로 80
3,지식정보단지역,인천 연수구 인천타워대로 57
4,인천재능대학교,인천시 연수구 송도교육로111번길 15
5,인천대입구역,인천 연수구 인천타워대로 155
6,센트럴파크역,인천광역시 연수구 인천타워대로 240
7,국제업무지구역,인천 연수구 인천타워대로 334
8,송도달빛축제공원역,인천시 연수구 인천타워대로 424
